State  (L1 Districts of Nepal),Post Codes,City (L2 Muncipalities of Nepal),Address (L3 Area/Landmark),Delivery service,Routing Hub2,COD,Service Level Ex KTM,Service Remarks,Addtional Cost Ex KTM per KG
Kathmandu,44600,Kathmandu,Bhagwan Pau,,,,,,
Kathmandu,44600,Kathmandu,Bhaktapur Bus Park,,,,,,
Kathmandu,44600,Kathmandu,bhatbhateni,,,,,,
Kathmandu,44600,Kathmandu,Bhimsengola,,,,,,
Kathmandu,44600,Kathmandu,Bhotahiti,,,,,,
Kathmandu,44600,Kathmandu,Bhrikuti mandap,,,,,,
Kathmandu,44600,Kathmandu,Bhurungkhel,,,,,,
Kathmandu,44600,Kathmandu,Bijeshwori,,,,,,
Kathmandu,44600,Kathmandu,Bijuli Bazar,,,,,,
Kathmandu,44600,Kathmandu,Bir Hospital,,,,,,
Kathmandu,44600,Kathmandu,Bishalnagar,,,,,,
Kathmandu,44600,Kathmandu,Buddha Nagar,,,,,,
Kathmandu,44600,Kathmandu,Chahabil Chowk,,,,,,
Kathmandu,44600,Kathmandu,Chandol,,,,,,
Kathmandu,44600,Kathmandu,Chappal Karkhana,,,,,,
Kathmandu,44600,Kathmandu,Chauni,,,,,,
Kathmandu,44600,Kathmandu,Chetrapati,,,,,,
Kathmandu,44600,Kathmandu,Chitiz nagar,,,,,,
Kathmandu,44600,Kathmandu,Chucchepati,,,,,,
Kathmandu,44600,Kathmandu,Chun Devi,,,,,,
Kathmandu,44600,Kathmandu,Dallu,,,,,,
Kathmandu,44600,Kathmandu,Dhalko,,,,,,
Kathmandu,44600,Kathmandu,Dharmapath,,,,,,
Kathmandu,44600,Kathmandu,Dhibichaur,,,,,,
Kathmandu,44600,Kathmandu,Dhobichaur,,,,,,
Kathmandu,44600,Kathmandu,Dhumbarahi,,,,,,
Kathmandu,44600,Kathmandu,Dillibazar,,,,,,
Kathmandu,44600,Kathmandu,Durbarmarg,,,,,,
Kathmandu,44600,Kathmandu,Exhibition Road,,,,,,
Kathmandu,44600,Kathmandu,Gairidhara,,,,,,
Kathmandu,44600,Kathmandu,Gangahiti,,,,,,
Kathmandu,44600,Kathmandu,gaurighat,,,,,,
Kathmandu,44600,Kathmandu,Gaushala,,,,,,
Kathmandu,44600,Kathmandu,Ghattekokulo,,,,,,
Kathmandu,44600,Kathmandu,Golkhapakha,,,,,,
Kathmandu,44600,Kathmandu,Gongabu Chwok,,,,,,
Kathmandu,44600,Kathmandu,Gopi Krishna,,,,,,
Kathmandu,44600,Kathmandu,Gujeshwori,,,,,,
Kathmandu,44600,Kathmandu,Gyaneshwore,,,,,,
Kathmandu,44600,Kathmandu,Hadigaun,,,,,,
Kathmandu,44600,Kathmandu,Hanumandhoka,,,,,,
Kathmandu,44600,Kathmandu,Ikubahal,,,,,,
Kathmandu,44600,Kathmandu,Indrachwok,,,,,,
Kathmandu,44600,Kathmandu,jadibuti,,,,,,
Kathmandu,44600,Kathmandu,Jaisidewal,,,,,,
Kathmandu,44600,Kathmandu,Jamal,,,,,,
Kathmandu,44600,Kathmandu,Jayabageshwori,,,,,,
Kathmandu,44600,Kathmandu,Jyatha,,,,,,
Kathmandu,44600,Kathmandu,Kadaghari,,,,,,
Kathmandu,44600,Kathmandu,Kalanki,,,,,,
Kathmandu,44600,Kathmandu,Kaldhara,,,,,,
Kathmandu,44600,Kathmandu,Kalimati,,,,,,
Kathmandu,44600,Kathmandu,Kalopul,,,,,,
Kathmandu,44600,Kathmandu,Kamaladi,,,,,,
Kathmandu,44600,Kathmandu,kamlaksi,,,,,,
Kathmandu,44600,Kathmandu,kantipath,,,,,,
Kathmandu,44600,Kathmandu,Kapurdhara,,,,,,
Kathmandu,44600,Kathmandu,Kharibot,,,,,,
Kathmandu,44600,Kathmandu,Khichapokhari,,,,,,
Kathmandu,44600,Kathmandu,Khusibu,,,,,,
Kathmandu,44600,Kathmandu,Kilagal,,,,,,
Kathmandu,44600,Kathmandu,Kimdole,,,,,,
Kathmandu,44600,Kathmandu,Koteshwore CHwok,,,,,,
Kathmandu,44600,Kathmandu,Kuleshwore,,,,,,
Kathmandu,44600,Kathmandu,Kumarigal,,,,,,
Kathmandu,44600,Kathmandu,Kumaristhan,,,,,,
Kathmandu,44600,Kathmandu,lagantole,,,,,,
Kathmandu,44600,Kathmandu,lainchaur,,,,,,
Kathmandu,44600,Kathmandu,Lazimpath,,,,,,
Kathmandu,44600,Kathmandu,Mahadevsthan,,,,,,
Kathmandu,44600,Kathmandu,Maitidevi,,,,,,
Kathmandu,44600,Kathmandu,maitighar,,,,,,
Kathmandu,44600,Kathmandu,Maligaun,,,,,,
Kathmandu,44600,Kathmandu,marutole,,,,,,
Kathmandu,44600,Kathmandu,Mehpi,,,,,,
Kathmandu,44600,Kathmandu,Minbhawan,,,,,,
Kathmandu,44600,Kathmandu,Mitranagar,,,,,,
Kathmandu,44600,Kathmandu,Mitrapark,,,,,,
Kathmandu,44600,Kathmandu,Naradevi,,,,,,
Kathmandu,44600,Kathmandu,Naraynchaur,,,,,,
Kathmandu,44600,Kathmandu,Narephat,,,,,,
Kathmandu,44600,Kathmandu,Naxal Bagwati Bahal,,,,,,
Kathmandu,44600,Kathmandu,nayabus Park,,,,,,
Kathmandu,44600,Kathmandu,New Baneshwore Chowk,,,,,,
Kathmandu,44600,Kathmandu,New Road,,,,,,
Kathmandu,44600,Kathmandu,Old Baneshwore,,,,,,
Kathmandu,44600,Kathmandu,Paknajol,,,,,,
Kathmandu,44600,Kathmandu,panipokhari,,,,,,
Kathmandu,44600,Kathmandu,Panipokhari,,,,,,
Kathmandu,44600,Kathmandu,pashupatinath,,,,,,
Kathmandu,44600,Kathmandu,peoples Campus,,,,,,
Kathmandu,44600,Kathmandu,Pepsicola,,,,,,
Kathmandu,44600,Kathmandu,Putalisadak,,,,,,
Kathmandu,44600,Kathmandu,Raktakali,,,,,,
Kathmandu,44600,Kathmandu,Ranibari,,,,,,
Kathmandu,44600,Kathmandu,Ratna Park,,,,,,
Kathmandu,44600,Kathmandu,Ratna Rajya,,,,,,
Kathmandu,44600,Kathmandu,Ravi Bhaan,,,,,,
Kathmandu,44600,Kathmandu,Samakhusi,,,,,,
Kathmandu,44600,Kathmandu,Sano gaucharan,,,,,,
Kathmandu,44600,Kathmandu,Shahidgate,,,,,,
Kathmandu,44600,Kathmandu,Shankhamul,,,,,,
Kathmandu,44600,Kathmandu,Shantinagar,,,,,,
Kathmandu,44600,Kathmandu,Shipal,,,,,,
Kathmandu,44600,Kathmandu,Shovabagwati,,,,,,
Kathmandu,44600,Kathmandu,Sinamangal,,,,,,
Kathmandu,44600,Kathmandu,Singhadurbar,,,,,,
Kathmandu,44600,Kathmandu,Solteemode,,,,,,
Kathmandu,44600,Kathmandu,Sorakhutte,,,,,,
Kathmandu,44600,Kathmandu,Subidanagar,,,,,,
Kathmandu,44600,Kathmandu,Sukedhara,,,,,,
Kathmandu,44600,Kathmandu,Sundhara,,,,,,
Kathmandu,44600,Kathmandu,Tahachal,,,,,,
Kathmandu,44600,Kathmandu,Tamsipakha,,,,,,
Kathmandu,44600,Kathmandu,tangal,,,,,,
Kathmandu,44600,Kathmandu,teaching Hospital,,,,,,
Kathmandu,44600,Kathmandu,tebahal,,,,,,
Kathmandu,44600,Kathmandu,Tengal,,,,,,
Kathmandu,44600,Kathmandu,Thamel,,,,,,
Kathmandu,44600,Kathmandu,Thapagaun,,,,,,
Kathmandu,44600,Kathmandu,Thapathali,,,,,,
Kathmandu,44600,Kathmandu,Tilganga,,,,,,
Kathmandu,44600,Kathmandu,Tinkune,,,,,,
Kathmandu,44600,Kathmandu,Tripureswore,,,,,,
Kathmandu,44600,Kathmandu,Tudikhel,,,,,,
Kathmandu,44601,Kirtipur,Chovar chowk,,,,,,
Kathmandu,44601,Kirtipur,Kirtipur Buspark,YES,Kathmandu,Yes,,,
Kathmandu,44601,Kirtipur,Kirtipur Nayabazar,,,,,,
Kathmandu,44601,Kirtipur,Panga,,,,,,
Kathmandu,44601,Kirtipur,TU,,,,,,
Kathmandu,44601,Kirtipur,Tyanglaphant,,,,,,
Kathmandu,44602,Nagarjun,Bhohoratar,YES,Kathmandu,Yes,,,
Kathmandu,44602,Nagarjun,Naya Naikap,,,,,,
Kathmandu,44602,Nagarjun,Purano Nikap,,,,,,
Kathmandu,44602,Nagarjun,Ramkot,,,,,,
Kathmandu,44602,Nagarjun,Sanobharang,,,,,,
Kathmandu,44602,Nagarjun,Sitapaila,,,,,,
Kathmandu,44602,Nagarjun,Suchyatar,,,,,,
Kathmandu,44602,Nagarjun,Thulo bharang,,,,,,
Kathmandu,44603,Shankharapur,,YES,Kathmandu,Yes,,,
Kathmandu,44604,Budhanilakantha,Baluwakhani,YES,Kathmandu,Yes,,,
Kathmandu,44604,Budhanilakantha,Chappali,,,,,,
Kathmandu,44604,Budhanilakantha,Chunnikhel Bus Park,,,,,,
Kathmandu,44604,Budhanilakantha,Golfutar,,,,,,
Kathmandu,44604,Budhanilakantha,kapan,,,,,,
Kathmandu,44604,Budhanilakantha,Mandikatar,,,,,,
Kathmandu,44604,Budhanilakantha,Narayanthan,,,,,,
Kathmandu,44605,Chandragiri,Kalanki,YES,Kathmandu,Yes,,,
Kathmandu,44605,Chandragiri,Macchegaun,,,,,,
Kathmandu,44605,Chandragiri,Matatirtha,,,,,,
Kathmandu,44605,Chandragiri,Nagdhunga,,,,,,
Kathmandu,44605,Chandragiri,Satungal,,,,,,
Kathmandu,44606,Tarakeshwor,Jarankhu,YES,Kathmandu,Yes,,,
Kathmandu,44606,Tarakeshwor,kavresthali Buspark,,,,,,
Kathmandu,44606,Tarakeshwor,manmaiju,,,,,,
Kathmandu,44606,Tarakeshwor,Nepaltar,,,,,,
Kathmandu,44606,Tarakeshwor,Purano Gujeshwori,,,,,,
Kathmandu,44606,Tarakeshwor,Sano Bypass,,,,,,
Kathmandu,44607,Tokha,Dhapasi,YES,Kathmandu,Yes,,,
Kathmandu,44607,Tokha,Gongabu,,,,,,
Kathmandu,44607,Tokha,Grande Hospital,,,,,,
Kathmandu,44607,Tokha,Tokha,,,,,,
Kathmandu,44608,Dakshinkali,Bhanjyang,,,,,,
Kathmandu,44608,Dakshinkali,Dakshinkali Temple Area,,,,,,
Kathmandu,44608,Dakshinkali,Khare,,,,,,
Kathmandu,44608,Dakshinkali,Pharping,,,,,,
Kathmandu,44608,Dakshinkali,Taudaha,YES,Kathmandu,Yes,,,
Kathmandu,44609,Gokarneshwor,Arubari,YES,Kathmandu,Yes,2,,
Kathmandu,44610,Kageshwori Manahora,Gothatar,YES,Kathmandu,Yes,,,
Kathmandu,44610,Kageshwori Manahora,Green City hill,,,,,,
Kathmandu,44610,Kageshwori Manahora,Mulpani,,,,,,
Kathmandu,44610,Kageshwori Manahora,Thali,,,,,,
Kavrepalanchok,45200,Dhulikhel,1 Hazar Sidi,,,,,,
Kavrepalanchok,45200,Dhulikhel,28 Km,YES,Kathmandu,Yes,,,
Kavrepalanchok,45200,Dhulikhel,Adda Bazar,,,,,,
Kavrepalanchok,45200,Dhulikhel,Basghari,,,,,,
Kavrepalanchok,45200,Dhulikhel,Bechinplan,,,,,,
Kavrepalanchok,45200,Dhulikhel,Chaukat,,,,,,
Kavrepalanchok,45200,Dhulikhel,Hospital Chowk,,,,,,
Kavrepalanchok,45200,Dhulikhel,Kavre Vanjyang,,,,,,
Kavrepalanchok,45200,Dhulikhel,Khadpu,,,,,,
Kavrepalanchok,45200,Dhulikhel,Ku Gate,,,,,,
Kavrepalanchok,45200,Dhulikhel,Malpot,,,,,,
Kavrepalanchok,45200,Dhulikhel,Vandol,,,,,,
Kavrepalanchok,45209,Panauti,Basdel,,,,,,
Kavrepalanchok,45209,Panauti,Basghari,,,,,,
Kavrepalanchok,45209,Panauti,Chaukot,,,,,,
Kavrepalanchok,45209,Panauti,Dhalmole,,,,,,
Kavrepalanchok,45209,Panauti,Itea,,,,,,
Kavrepalanchok,45209,Panauti,Khapasi,,,,,,
Kavrepalanchok,45209,Panauti,Kushadevi,YES,Kathmandu,Yes,,,
Kavrepalanchok,45209,Panauti,Naikintar,,,,,,
Kavrepalanchok,45209,Panauti,Subbu Garu,,,,,,
Kavrepalanchok,45209,Panauti,Sunthat,,,,,,
Kavrepalanchok,45209,Panauti,Thadobato,,,,,,
Kavrepalanchok,45210,Banepa,Banepa,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Bhaisipati,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Budol,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Buspark,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Chadani Chowk,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Chandesowri,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Chardobato,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Chinatown,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Dhaneshwor,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Futsal,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Ganeshthan,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Godam Chowk,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Nagarpalika,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Nala,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Nala,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Pradikaran,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Pulchowk,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Ratomate,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Sanga,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Sinagal,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Tarkari Bazar,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Telcom,YES,Kathmandu,Yes,,,
Kavrepalanchok,45210,Banepa,Tindobato,YES,Kathmandu,Yes,,,
Kavrepalanchok,45212,Panchkhal,,YES,,,,,
Khotang,56200,Diktel,,YES,,,,,
Lalitpur,44700,Lalitpur,,YES,Kathmandu,Yes,,,
Lalitpur,44701,Mahankal,,YES,Kathmandu,Yes,,,
Lalitpur,44702,Mahalaxmi,Biruwa,YES,Kathmandu,Yes,,,
Lalitpur,44702,Mahalaxmi,Changathali,,,,,,
Lalitpur,44702,Mahalaxmi,Dhugani,,,,,,
Lalitpur,44702,Mahalaxmi,Sanagaon,,,,,,
Lalitpur,44702,Mahalaxmi,Sirutar,,,,,,
Lalitpur,44702,Mahalaxmi,Tikathali,,,,,,
Lalitpur,44705,Konjyosom,,YES,Kathmandu,Yes,,,
Lalitpur,44709,Godawari,,YES,Kathmandu,Yes,2,,
Lamjung,33600,Besishahar,Besisahar Bazar,YES,Sundarbazar,Yes,,,
Lamjung,33600,Besishahar,Bhakundey,YES,Sundarbazar,Yes,,,
Lamjung,33600,Besishahar,Bhamdidada,YES,Sundarbazar,Yes,,,
Lamjung,33600,Besishahar,Chanaute,YES,Sundarbazar,Yes,,,
Lamjung,33605,Sundarbazar,Bhotewodar,,,,,,
Lamjung,33605,Sundarbazar,Fulbari,,,,,,
Lamjung,33605,Sundarbazar,Hadetar,,,,,,
Lamjung,33605,Sundarbazar,Khahare Khola,,,,,,
Lamjung,33605,Sundarbazar,Khatri Thati,,,,,,
Lamjung,33605,Sundarbazar,Khatrithati,YES,Sundarbazar,Yes,,,
Lamjung,33605,Sundarbazar,Kumaltar,,,,,,
Lamjung,33605,Sundarbazar,Lamjung Campus Area,YES,Sundarbazar,Yes,,,
Lamjung,33605,Sundarbazar,Manechauka,,,,,,
Lamjung,33605,Sundarbazar,Milan Chowk,YES,Sundarbazar,Yes,,,
Lamjung,33605,Sundarbazar,Paudi,,,,,,
Lamjung,33605,Sundarbazar,Siudibar,,,,,,
Lamjung,33605,Sundarbazar,Suidibar Bus Park Area,YES,Sundarbazar,Yes,,,
Mahottari,45700,Jaleswor,,YES,Janakpur,Yes,,"COD Tuesday and Friday Delivery, Prepaid Daily by agent in Jaleswore",
Mahottari,45701,Bardibas,Badahari,YES,Bardibas,Yes,1,,
Mahottari,45701,Bardibas,Bardibas Bus Stop Area,YES,Bardibas,Yes,1,,
Mahottari,45701,Bardibas,Bardibas Hospital Area,YES,Bardibas,Yes,1,,
Mahottari,45701,Bardibas,Baridibas,YES,Bardibas,Yes,1,,
Mahottari,45701,Bardibas,Bishwakarma Mandir Area,YES,Bardibas,Yes,1,,
Mahottari,45701,Bardibas,Gauridanda,YES,Bardibas,Yes,1,,
Mahottari,45701,Bardibas,Jamunibas,YES,Bardibas,Yes,1,,
Mahottari,45701,Bardibas,Lalgadh,YES,Bardibas,Yes,1,,
Mahottari,45701,Bardibas,Ratokhola,YES,Bardibas,Yes,1,,
Makwanpur,44100,Hetauda,Basamadi,,,,,,
Makwanpur,44100,Hetauda,Bhaise,,,,,,
Makwanpur,44100,Hetauda,Bhalukhola,,,,,,
Makwanpur,44100,Hetauda,Buddha Chowk,YES,Hetauda,Yes,,,
Makwanpur,44100,Hetauda,Campa Dhada,,,,,,
Makwanpur,44100,Hetauda,Cement Factory Area,YES,Hetauda,Yes,,,
Makwanpur,44100,Hetauda,Cement Road,,,,,,
Makwanpur,44100,Hetauda,Chauda Bazar,,,,,,
Makwanpur,44100,Hetauda,Chauki Tole Area,YES,Hetauda,Yes,,,
Makwanpur,44100,Hetauda,Chaukitol,,,,,,
Makwanpur,44100,Hetauda,China Quarters Area,YES,Hetauda,Yes,,,
Makwanpur,44100,Hetauda,Chisapani,,,,,,
Makwanpur,44100,Hetauda,Chuchekhola,,,,,,
Makwanpur,44100,Hetauda,Dangdunge,,,,,,
Makwanpur,44100,Hetauda,Eye Hospital Area,YES,Hetauda,Yes,,,
Makwanpur,44100,Hetauda,Forestry Institute Area,YES,Hetauda,Yes,,,
Makwanpur,44100,Hetauda,Golpingtar Area,YES,Hetauda,Yes,,,
Makwanpur,44100,Hetauda,Hatigauda,,,,,,
Makwanpur,44100,Hetauda,Hatiya,,,,,,
Makwanpur,44100,Hetauda,Hetauda Adhyugik Chetra,,,,,,
Makwanpur,44100,Hetauda,Hetauda Bus Park Area,YES,Hetauda,Yes,,,
Makwanpur,44100,Hetauda,Hetauda Industrial Estate,YES,Hetauda,Yes,,,
Makwanpur,44100,Hetauda,Hid,,,,,,
Makwanpur,44100,Hetauda,Hupra Chaur Area,YES,Hetauda,Yes,,,
Makwanpur,44100,Hetauda,Kamal Dada,YES,Hetauda,Yes,,,
Makwanpur,44100,Hetauda,Kamne 7/8/9,,,,,,
Makwanpur,44100,Hetauda,Khoplang,,,,,,
Makwanpur,44100,Hetauda,Lewat,,,,,,
Makwanpur,44100,Hetauda,Makwanpur Campus Area,YES,Hetauda,Yes,,,
Makwanpur,44100,Hetauda,Mayurdhap,,,,,,
Makwanpur,44100,Hetauda,Nawalpur,,,,,,
Makwanpur,44100,Hetauda,Nayabasti,,,,,,
Makwanpur,44100,Hetauda,Padampokhari,,,,,,
Makwanpur,44100,Hetauda,Pipley,,,,,,
Makwanpur,44100,Hetauda,Rangasala,,,,,,
Makwanpur,44100,Hetauda,Ratomate,,,,,,
Makwanpur,44100,Hetauda,Ridhisiddi Cement,,,,,,
Makwanpur,44100,Hetauda,Samari,,,,,,
Makwanpur,44100,Hetauda,Sanopokhara,,,,,,
Makwanpur,44100,Hetauda,Sanopokhara Area,YES,Hetauda,Yes,,,
Makwanpur,44100,Hetauda,Shivam Cement,,,,,,
Makwanpur,44100,Hetauda,Suparitar Barack,,,,,,
Makwanpur,44100,Hetauda,TCN Area,YES,Hetauda,Yes,,,
Makwanpur,44100,Hetauda,Teentapke,,,,,,
Makwanpur,44100,Hetauda,Thanabhanryang,,,,,,
Manang,33500,Chame,Manang,YES,Kathmandu,YES,4-6 days,Third Party,300
Morang,56613,Biratnagar,Airport Area,,,,,,
Morang,56613,Biratnagar,Ayal Nigum,,,,,,
Morang,56613,Biratnagar,Bansbari,,,,,,
Morang,56613,Biratnagar,Bargachi Puspalal Chowk,,,,,,
Morang,56613,Biratnagar,Birat Teaching Hospital,,,,,,
Morang,56613,Biratnagar,Hatkhola,,,,,,
Morang,56613,Biratnagar,Janpathtole Area,YES,Biratnagar,Yes,,,
Morang,56613,Biratnagar,Katahari,,,,,,
Morang,56613,Biratnagar,Kharji,,,,,,
Morang,56613,Biratnagar,Mahendra Chowk Area,YES,Biratnagar,Yes,,,
Morang,56613,Biratnagar,Nimuwa,,,,,,
Morang,56613,Biratnagar,Panchali Tole Area,YES,Biratnagar,Yes,,,
Morang,56613,Biratnagar,Rajbanshi Chowk,,,,,,
Morang,56613,Biratnagar,Rampur Chowk,,,,,,
Morang,56613,Biratnagar,Rani Bank Road Area,YES,Biratnagar,Yes,,,
Morang,56613,Biratnagar,Rani Boder Area,,,,,,
Morang,56613,Biratnagar,Rani Border Area,YES,Biratnagar,Yes,,,
Morang,56613,Biratnagar,Rani Nahar Area,YES,Biratnagar,Yes,,,
Morang,56613,Biratnagar,Rodces Chowk,,,,,,
Morang,56613,Biratnagar,Sikshya Sadan School Area,YES,Biratnagar,Yes,,,
Morang,56613,Biratnagar,Tanki,,,,,,
Morang,56613,Biratnagar,Thulo Mill Chowk,,,,,,
Morang,56613,Biratnagar,Tinpani,,,,,,
Morang,56602,Rangeli,Aamtola Bazaar,YES,Biratnagar,Yes,,,
Morang,56602,Rangeli,Drabesha,YES,Biratnagar,Yes,,,
Morang,56602,Rangeli,Janata Multiple Campus Area,YES,Biratnagar,Yes,,,
Morang,56602,Rangeli,Rangeli Bazaar,YES,Biratnagar,Yes,,,
Morang,56602,Rangeli,Rangeli Hospital Area,YES,Biratnagar,Yes,,,
Morang,56610,Belbari,Belepur,YES,Itahari,Yes,,,
Morang,56610,Belbari,Bhaunne,YES,Itahari,Yes,,,
Morang,56610,Belbari,Goathgaau,YES,Itahari,Yes,,,
Morang,56610,Belbari,Haraicha,YES,Itahari,Yes,,,
Morang,56610,Belbari,Kanepokheri,YES,Itahari,Yes,,,
Morang,56610,Belbari,Khorsani,YES,Itahari,Yes,,,
Morang,56610,Belbari,Laxmi Marga,YES,Itahari,Yes,,,
Morang,56610,Belbari,,YES,Itahari,Yes,,,
Morang,56611,Patahrishanishchare,Pathari,YES,Damak,,,,
Morang,56612,Ratuwamai,Aambari Chowk,YES,Biratnagar,Yes,,,
Morang,56612,Ratuwamai,Damravitta Bazaar,YES,Biratnagar,Yes,,,
Morang,56612,Ratuwamai,Govindapur,YES,Biratnagar,Yes,,,
Morang,56612,Ratuwamai,Itahara Chowk,YES,Biratnagar,Yes,,,
Morang,56612,Ratuwamai,Sijuwa Chowk,YES,Biratnagar,Yes,,,
Morang,56612,Ratuwamai,Sombare,YES,Biratnagar,Yes,,,
Morang,56612,Ratuwamai,Tribhuwan Chowk,YES,Biratnagar,Yes,,,
Morang,56613,Sundarharaicha,Belepur,,,,,,
Morang,56613,Sundarharaicha,Bhaunne,,,,,,
Morang,56613,Sundarharaicha,Biratchowk,,,,,,
Morang,56613,Sundarharaicha,Goathgaau,YES,Biratnagar,,,delivery by itahari branch,
Morang,56613,Sundarharaicha,Haraicha,,,,,,
Morang,56613,Sundarharaicha,Kanepokheri,ch,,,,,
Morang,56613,Sundarharaicha,Khorsani,,,,,,
Morang,56613,Sundarharaicha,Laxmi Marga,YES,Itahari,Yes,,,
Morang,56613,Sundarharaicha,Salakpur,,,,,,
Morang,56614,Sunwarshi,Amardaha,YES,Biratnagar,Yes,,,
Morang,56614,Sunwarshi,Dainiya,YES,Biratnagar,Yes,,,
Morang,56614,Sunwarshi,Dohamana Pashu Bazar,YES,Biratnagar,Yes,,,
Morang,56614,Sunwarshi,Sunbarshi Temple Area,YES,Biratnagar,Yes,,,
Morang,56615,Uralabari,Durgapuri,YES,Damak,,,,
Morang,56615,Uralabari,Janapath Marga,,,,,,
Morang,56615,Uralabari,Karki Chowk,,,,,,
Morang,56615,Uralabari,Kishan Chowk,,,,,,
Morang,56615,Uralabari,Laxmi Chowk,,,,,,
Morang,56615,Uralabari,Manglabare,,,,,,
Morang,56615,Uralabari,Selfi Road D.B Marga,,,,,,
Morang,56615,Uralabari,Sombare,,,,,,
Morang,56615,Uralabari,Surya Chowk,,,,,,
Morang,56700,Urlabari,Amar Hatth,,,,,,
Mugu,21100,Chhayanath Rara,Gamgadhi,YES,Kathmandu,Yes,,Third Party,300
Mustang,33102,Gharapjhong,Jomsom,YES,,,,,
Myagdi,33200,Beni,Bagarphant,YES,Pokhara,Yes,,,
Myagdi,33200,Beni,Dammara,YES,Pokhara,Yes,,,
Myagdi,33200,Beni,Galeshwor,YES,Pokhara,Yes,,,
Myagdi,33200,Beni,Kalipul,YES,Pokhara,Yes,,,
Myagdi,33200,Beni,Lamakhet,YES,Pokhara,Yes,,,
Myagdi,33200,Beni,Maharanithan,YES,Pokhara,Yes,,,
Myagdi,33200,Beni,Mangalaghat,YES,Pokhara,Yes,,,
Myagdi,33200,Beni,Milan Chowk,YES,Pokhara,Yes,,,
Myagdi,33200,Beni,Parbat Beni,YES,Pokhara,Yes,,,
Myagdi,33200,Beni,Pari-Beni,YES,Pokhara,Yes,,,
Nawalpur,33007,Devchuli,Daldale,YES,Bharatpur ,Yes,,,
Nawalpur,33007,Devchuli,Dharapani Bazaar,YES,Bharatpur ,Yes,,,
Nawalpur,33007,Devchuli,Kadampur Chowk,YES,Bharatpur ,Yes,,,
Nawalpur,33007,Devchuli,Milan Chowk,YES,Bharatpur ,Yes,,,
Nawalpur,33007,Devchuli,Piprahar,YES,Bharatpur ,Yes,,,
Nawalpur,33007,Devchuli,Pragatinagar,YES,Bharatpur ,Yes,,,
Nawalpur,33007,Devchuli,Prithvi Nagar,YES,Bharatpur ,Yes,,,
Nawalpur,33007,Devchuli,Rajahar Bazaar,YES,Bharatpur ,Yes,,,
Nawalpur,33007,Devchuli,Sashwat Dham Area,YES,Bharatpur ,Yes,,,
Nawalpur,33008,Gaidakot,Bijaya Chowk,,,,,,
Nawalpur,33008,Gaidakot,British Camp,,,,,,
Nawalpur,33008,Gaidakot,Congress Chowk,YES,Bharatpur ,Yes,,,
Nawalpur,33008,Gaidakot,Gaindakot Municipality Office Area,YES,Bharatpur ,Yes,,,
Nawalpur,33008,Gaidakot,Gairi Ganesh Mandir,,,,,,
Nawalpur,33008,Gaidakot,Gairi Tempo Park,,,,,,
Nawalpur,33008,Gaidakot,Ganesh Mandir Area,YES,Bharatpur ,Yes,,,
Nawalpur,33008,Gaidakot,Harihar Mandir,YES,Bharatpur ,Yes,,,
Nawalpur,33008,Gaidakot,Jai Shree Pul,,,,,,
Nawalpur,33008,Gaidakot,Kali Gandaki Bus Stop Area,YES,Bharatpur ,Yes,,,
Nawalpur,33008,Gaidakot,Kaligandaki Chowk,,,,,,
Nawalpur,33008,Gaidakot,Kalika Chowk,,,,,,
Nawalpur,33008,Gaidakot,Kalika Mandir Area,YES,Bharatpur ,Yes,,,
Nawalpur,33008,Gaidakot,Kangress Chowk,,,,,,
Nawalpur,33008,Gaidakot,Krishna Chowk,,,,,,
Nawalpur,33008,Gaidakot,Maula Kalika,YES,Bharatpur ,Yes,,,
Nawalpur,33008,Gaidakot,Maulakalika Fedi,,,,,,
Nawalpur,33008,Gaidakot,Milan Chowk,,,,,,
Nawalpur,33008,Gaidakot,Nabajagaran Cricket Ground - NCG,YES,Bharatpur ,Yes,,,
Nawalpur,33008,Gaidakot,Silanaysh Chowk,,,,,,
